loading_id,depot,product,customer,truck_id,volume_loaded_litres,meter_start,meter_end,loading_ts,meter_delta_litres,dispatch_id,volume_dispatched_litres,dispatch_ts,status,invoice_count,volume_invoiced_litres,invoiced_amount_kes,paid_amount_kes,collections_gap_kes,unit_price_kes,invoice_date,payment_lag_days,expected_revenue_kes,invoice_lag_days,dispatch_capture_gap_kes,shrinkage_litres,shrinkage_kes,billing_gap_kes,underbilling_litres,underbilling_kes,total_leakage_kes,collected_revenue_kes,late_invoice_flag,late_payment_flag,is_exception,leakage_category
LD000001,Mombasa,AGO,Aberdare Oil Traders,TRK-242,32700.0,1733739.2,1766441.6,2026-06-01 05:47:00,32702.40000000014,DS000001,32633.0,2026-06-01 08:36:00,Dispatched,1.0,32633.0,5026533.24,5026533.24,0.0,154.03,2026-06-01 08:36:00,14.0,5075040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5026533.24,False,False,False,none
LD000002,Mombasa,AGO,Lakeview Energy,TRK-617,27100.0,1399899.7,1427006.5,2026-06-01 06:01:00,27106.800000000047,DS000002,27107.0,2026-06-01 06:57:00,Cancelled,,,,,0.0,,,,4205920.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,none
LD000003,Mombasa,AGO,Nyanza Petroleum Co,TRK-384,27300.0,2334834.4,2362136.4,2026-06-01 22:26:00,27302.0,DS000003,27328.0,2026-06-01 23:06:00,Dispatched,1.0,27328.0,4176933.52,4176933.52,0.0,152.84,2026-06-02 05:06:00,30.0,4236960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4176933.52,False,False,False,none
LD000004,Mombasa,AGO,Baraka Downstream,TRK-881,20900.0,3887995.1,3908890.5,2026-06-01 15:17:00,20895.399999999907,DS000004,20888.0,2026-06-01 17:48:00,Dispatched,1.0,20888.0,3271109.84,3271109.84,0.0,156.6,2026-06-01 18:48:00,7.0,3243679.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3271109.84,False,False,False,none
LD000005,Mombasa,PMS,Zenith Petroleum,TRK-926,35000.0,1003115.1,1038115.2,2026-06-01 08:22:00,35000.09999999998,DS000005,35142.0,2026-06-01 10:38:00,Dispatched,1.0,35142.0,5823850.74,5823850.74,0.0,165.72,2026-06-02 14:38:00,60.0,5792500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5823850.74,False,True,False,none
LD000006,Mombasa,AGO,Highland Energy Co,TRK-743,26400.0,1186662.7,1213060.6,2026-06-01 17:05:00,26397.90000000014,DS000006,26303.0,2026-06-01 19:29:00,Dispatched,1.0,26303.0,4160039.86,4160039.86,0.0,158.16,2026-06-03 00:29:00,3.0,4097279.9999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4160039.86,False,False,False,none
LD000007,Mombasa,AGO,Nyanza Petroleum Co,TRK-181,35600.0,1931085.4,1966686.5,2026-06-01 06:42:00,35601.10000000009,,,,,,,,,0.0,,,,5525120.0,,5525120.0,0.0,0.0,0.0,0.0,0.0,5525120.0,0.0,False,False,True,dispatch_capture_gap
LD000008,Mombasa,PMS,Zenith Petroleum,TRK-463,26100.0,4932923.5,4959019.7,2026-06-01 19:40:00,26096.200000000186,DS000007,26236.0,2026-06-01 21:38:00,Dispatched,1.0,26236.0,4286588.59,4286588.59,0.0,163.39,2026-06-01 22:38:00,3.0,4319550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4286588.59,False,False,False,none
LD000009,Mombasa,AGO,Tsavo Energy Group,TRK-350,27500.0,4439761.6,4467259.0,2026-06-01 07:38:00,27497.400000000373,DS000008,27555.0,2026-06-01 09:39:00,Dispatched,1.0,27555.0,4214332.19,4214332.19,0.0,152.94,2026-06-02 10:39:00,45.0,4268000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214332.19,False,True,False,none
LD000010,Mombasa,PMS,Mara Fuels,TRK-894,20200.0,4768807.0,4789016.6,2026-06-01 22:14:00,20209.599999999627,DS000009,20185.0,2026-06-01 23:08:00,Dispatched,1.0,20185.0,3349672.07,0.0,3349672.07,165.95,2026-06-03 05:08:00,,3343100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3349672.07,0.0,False,False,True,collections_gap
