dispatch_id,loading_id,destination_customer,volume_dispatched_litres,dispatch_ts,status
DS000001,LD000001,Aberdare Oil Traders,32633,01/06/2026 08:36,Dispatched
DS000002,LD000002,Lakeview Energy,27107,2026-06-01 06:57,Cancelled
DS000003,LD000003,Nyanza Petroleum Co,27328,2026-06-01 23:06,Dispatched
DS000004,LD000004,Baraka Downstream,20888,2026-06-01 17:48,Dispatched
DS000005,LD000005,Zenith Petroleum,35142,2026-06-01 10:38,Dispatched
DS000006,LD000006,Highland Energy Co,26303,2026-06-01 19:29,Dispatched
DS000007,LD000008,Zenith Petroleum,26236,01/06/2026 21:38,Dispatched
DS000008,LD000009,Tsavo Energy Group,27555,01/06/2026 09:39,Dispatched
DS000009,LD000010,Mara Fuels,20185,2026-06-01 23:08,Dispatched
DS000010,LD000011,Aberdare Oil Traders,28980,01/06/2026 18:13,Dispatched
DS000011,LD000012,Kilele Fuels,29602,2026-06-01 20:51,Dispatched
DS000012,LD000013,Pioneer Fuels Kenya,34412,2026-06-01 21:42,Dispatched
DS000013,LD000014,Horizon Oil Marketers,28270,2026-06-01 08:17,Dispatched
DS000014,LD000015,Aberdare Oil Traders,23012,01/06/2026 21:12,Dispatched
DS000015,LD000016,Aberdare Oil Traders,34831,01/06/2026 23:29,Dispatched
DS000016,LD000017,Aberdare Oil Traders,23241,01/06/2026 21:53,Dispatched
DS000017,LD000018,Amani Petroleum,24320,2026-06-01 15:32,Dispatched
DS000018,LD000019,Rift Valley Fuels Ltd,25716,01/06/2026 23:56,Dispatched
DS000019,LD000020,Savannah Petroleum,32752,2026-06-01 16:33,Dispatched
DS000020,LD000021,Highland Energy Co,26662,01/06/2026 08:20,Dispatched
DS000021,LD000022,Amani Petroleum,32541,01/06/2026 10:53,Dispatched
DS000022,LD000023,Zenith Petroleum,34779,2026-06-01 19:25,Dispatched
DS000023,LD000024,Rift Valley Fuels Ltd,25976,2026-06-01 09:14,Dispatched
DS000024,LD000025,Lakeview Energy,29311,2026-06-01 08:04,Dispatched
DS000025,LD000026,Delta Oil Marketers,26141,2026-06-01 15:41,Dispatched
DS000026,LD000028,Savannah Petroleum,20561,2026-06-01 19:31,Dispatched
DS000027,LD000029,Horizon Oil Marketers,21929,2026-06-01 18:21,Dispatched
DS000028,LD000030,Kilele Fuels,27455,01/06/2026 12:45,Dispatched
DS000029,LD000031,Rift Valley Fuels Ltd,30894,02/06/2026 01:42,Dispatched
