invoice_id,dispatch_id,customer,product,volume_invoiced_litres,unit_price_kes,amount_kes,invoice_date,currency
INV000001,DS000001,Aberdare Oil Traders,AGO,32633,154.03,5026533.24,01/06/2026 08:36,KES
INV000002,DS000003,Nyanza Petroleum Co,AGO,27328,152.84,4176933.52,02/06/2026 05:06,KES
INV000003,DS000004,Baraka Downstream,AGO,20888,156.60,3271109.84,01/06/2026 18:48,KES
INV000004,DS000005,Zenith Petroleum,PMS,35142,165.72,5823850.74,2026-06-02 14:38,KES
INV000005,DS000006,Highland Energy Co,AGO,26303,158.16,4160039.86,2026-06-03 00:29,KES
INV000006,DS000007,Zenith Petroleum,PMS,26236,163.39,4286588.59,01/06/2026 22:38,KES
INV000007,DS000008,Tsavo Energy Group,AGO,27555,152.94,4214332.19,2026-06-02 10:39,KES
INV000008,DS000009,Mara Fuels,PMS,20185,165.95,3349672.07,2026-06-03 05:08,KES
INV000009,DS000010,Aberdare Oil Traders,AGO,28980,157.58,4566670.23,2026-06-08 18:13,KES
INV000010,DS000011,Kilele Fuels,AGO,29602,152.80,4523222.41,09/06/2026 02:51,KES
INV000011,DS000012,Pioneer Fuels Kenya,AGO,34412,152.90,5261505.15,2026-06-05 00:42,KES
INV000012,DS000013,Horizon Oil Marketers,PMS,28270,166.96,4719872.06,2026-06-02 09:17,KES
INV000013,DS000014,Aberdare Oil Traders,PMS,23012,166.38,3828695.26,2026-06-02 04:12,KES
INV000014,DS000015,Aberdare Oil Traders,AGO,34831,153.92,5361068.95,2026-06-02 01:29,KES
INV000015,DS000016,Aberdare Oil Traders,PMS,23241,163.33,3795879.56,2026-06-05 00:53,KES
INV000016,DS000017,Amani Petroleum,AGO,24320,154.85,3765960.62,2026-06-01 15:32,KES
INV000017,DS000018,Rift Valley Fuels Ltd,AGO,25716,152.57,3923541.09,2026-06-05 04:56,KES
INV000018,DS000019,Savannah Petroleum,IK,32752,142.24,4658603.18,02/06/2026 00:33,KES
INV000019,DS000020,Highland Energy Co,AGO,26662,154.02,"4,106,604.69",2026-06-01 09:20,KES
INV000020,DS000021,Amani Petroleum,IK,32541,140.24,"4,563,614.32",03/06/2026 10:53,KES
INV000021,DS000022,Zenith Petroleum,AGO,34779,152.79,5313841.13,2026-06-04 03:25,KES
INV000022,DS000023,Rift Valley Fuels Ltd,PMS,25976,168.38,4373815.92,2026-06-04 16:14,KES
INV000023,DS000024,Lakeview Energy,PMS,29311,162.41,4760524.25,01/06/2026 12:04,KES
INV000024,DS000025,Delta Oil Marketers,AGO,26141,155.09,4054202.93,11/06/2026 21:41,KES
INV000025,DS000028,Kilele Fuels,PMS,27455,166.27,4564868.43,02/06/2026 15:45,KES
INV000026,DS000029,Rift Valley Fuels Ltd,PMS,30894,167.57,5176764.24,2026-06-04 08:42,KES
INV000027,DS000030,Summit Downstream Ltd,PMS,23261,163.76,3809140.77,2026-06-02 03:05,KES
INV000028,DS000031,Kilele Fuels,IK,24527,141.79,3477666.13,04/06/2026 16:57,KES
INV000029,DS000032,Savannah Petroleum,PMS,32805,168.77,5536660.87,02/06/2026 23:51,KES
INV000030,DS000033,Amani Petroleum,PMS,34401,163.62,5628651.69,2026-06-04 04:16,KES
INV000031,DS000034,Nyanza Petroleum Co,PMS,23565,164.94,"3,886,705.77",03/06/2026 15:36,KES
INV000032,DS000035,Pioneer Fuels Kenya,AGO,33190,154.09,5114293.01,01/06/2026 21:45,KES
INV000033,DS000036,Aberdare Oil Traders,AGO,26651,158.06,4212376.04,2026-06-03 19:00,KES
INV000034,DS000037,Kilele Fuels,AGO,21924,153.63,3368104.61,01/06/2026 09:28,KES
INV000035,DS000038,Baraka Downstream,AGO,28257,157.13,4440161.82,03/06/2026 00:00,KES
INV000036,DS000039,Highland Energy Co,PMS,25729,165.90,4268362.06,03/06/2026 23:28,KES
INV000037,DS000040,Horizon Oil Marketers,AGO,24728,153.60,3798194.84,2026-06-03 03:44,KES
INV000038,DS000041,Aberdare Oil Traders,AGO,29900,153.68,4595071.16,02/06/2026 04:40,KES
INV000039,DS000042,Delta Oil Marketers,PMS,22251,162.94,3625469.15,2026-06-04 14:11,KES
INV000040,DS000043,Rift Valley Fuels Ltd,AGO,23887,153.71,3671714.68,02/06/2026 23:54,KES
INV000041,DS000044,Uhuru Energy Partners,PMS,30157,164.17,4950938.40,2026-06-03 01:55,KES
INV000042,DS000045,Highland Energy Co,AGO,30200,153.71,4642118.10,2026-06-02 01:23,KES
INV000043,DS000046,Zenith Petroleum,PMS,33522,164.61,5518091.25,2026-06-03 10:21,KES
INV000044,DS000047,Uhuru Energy Partners,PMS,22970,,3794854.93,04/06/2026 03:37,KES
INV000045,DS000048,Uhuru Energy Partners,AGO,20317,155.47,"3,158,658.16",02/06/2026 14:28,KES
INV000046,DS000049,Tsavo Energy Group,AGO,23610,154.37,3644787.23,2026-06-08 14:49,KES
INV000047,DS000050,Kilele Fuels,AGO,25978,157.76,4098195.87,01/06/2026 22:23,KES
INV000048,DS000051,Mara Fuels,PMS,22107,167.71,3707650.73,01/06/2026 19:36,KES
