loading_id,depot,product,customer,truck_id,volume_loaded_litres,meter_start,meter_end,loading_ts
LD000001,Mombasa,AGO,Aberdare Oil Traders,TRK-242,32700,1733739.2,1766441.6,2026-06-01 05:47
LD000002,Mombasa,AGO,Lakeview Energy,TRK-617,27100,1399899.7,1427006.5,2026-06-01 06:01
LD000003,Mombasa,AGO,Nyanza Petroleum Co,TRK-384,27300,2334834.4,2362136.4,2026-06-01 22:26
LD000004,mombasa,AGO,Baraka Downstream,TRK-881,20900,3887995.1,3908890.5,2026-06-01 15:17
LD000005,Mombasa,PMS,Zenith Petroleum,TRK-926,35000,1003115.1,1038115.2,01/06/2026 08:22
LD000006,mombasa,AGO,Highland Energy Co,TRK-743,26400,1186662.7,1213060.6,2026-06-01 17:05
LD000007,MOMBASA,AGO,Nyanza Petroleum Co,TRK-181,35600,1931085.4,1966686.5,2026-06-01 06:42
LD000008,MOMBASA,PMS,Zenith Petroleum,TRK-463,26100,4932923.5,4959019.7,01/06/2026 19:40
LD000009,MOMBASA,AGO,Tsavo Energy Group,TRK-350,27500,4439761.6,4467259.0,01/06/2026 07:38
LD000010,Mombasa,PMS,Mara Fuels,TRK-894,20200,4768807.0,4789016.6,2026-06-01 22:14
LD000011,mombasa,AGO,Aberdare Oil Traders,TRK-680,29000,2541666.0,2570669.9,2026-06-01 15:25
LD000012,MOMBASA,AGO,Kilele Fuels,TRK-242,29800,4332779.6,4362574.1,01/06/2026 17:56
LD000013,NAIROBI,AGO,Pioneer Fuels Kenya,TRK-324,34500,2035119.9,2069613.6,01/06/2026 18:57
LD000014,nrb,PMS,Horizon Oil Marketers,TRK-263,28300,3186841.1,3215146.6,2026-06-01 06:55
LD000015,Nairobi,PMS,Aberdare Oil Traders,TRK-981,23000,4878338.5,4901339.6,2026-06-01 19:33
LD000016,Nairobi,AGO,Aberdare Oil Traders,TRK-448,34700,1353970.0,1388674.4,01/06/2026 22:48
LD000017,NAIROBI,PMS,Aberdare Oil Traders,TRK-880,23100,1180909.2,1204004.2,2026-06-01 19:00
LD000018,Nairobi Depot,AGO,Amani Petroleum,TRK-256,24300,4314950.0,4339242.1,2026-06-01 14:53
LD000019,Nairobi,AGO,Rift Valley Fuels Ltd,TRK-600,25700,2123738.0,2149432.3,2026-06-01 21:58
LD000020,Nairobi,IK,Savannah Petroleum,TRK-680,32800,1298202.6,1331003.3,2026-06-01 14:15
LD000021,Ksm,AGO,Highland Energy Co,TRK-231,26800,2579526.1,2606329.3,01/06/2026 07:48
LD000022,Kisumu,IK,Amani Petroleum,TRK-533,32600,3423839.9,3456435.4,2026-06-01 10:16
LD000023,KISUMU,AGO,Zenith Petroleum,TRK-629,34800,3604308.1,3639103.6,2026-06-01 17:42
LD000024,Ksm,PMS,Rift Valley Fuels Ltd,TRK-335,25900,3675365.0,3701264.4,2026-06-01 07:21
LD000025,KISUMU,PMS,Lakeview Energy,TRK-980,30700,3365191.2,3395893.5,2026-06-01 06:14
LD000026,Ksm,AGO,Delta Oil Marketers,TRK-235,26100,4886848.4,4912940.0,01/06/2026 13:42
LD000027,Ksm,PMS,Uhuru Energy Partners,TRK-199,33600,3886918.1,3920514.2,01/06/2026 20:51
LD000028,Kisumu,PMS,Savannah Petroleum,TRK-761,20600,3842651.6,3863247.4,2026-06-01 18:29
LD000029,Ksm,PMS,Horizon Oil Marketers,TRK-294,21800,2757346.0,2779146.8,01/06/2026 15:51
LD000030,KISUMU,PMS,Kilele Fuels,TRK-177,27600,3253102.3,3280701.7,2026-06-01 10:17
LD000031,Kisumu,PMS,Rift Valley Fuels Ltd,TRK-871,31100,1557325.8,1588430.2,2026-06-01 22:53
LD000032,KISUMU,PMS,Summit Downstream Ltd,TRK-268,23200,4771414.3,4794625.7,2026-06-01 20:13
LD000033,Eld,IK,Kilele Fuels,TRK-813,24600,1644885.1,1669489.7,01/06/2026 13:59
LD000034,Eldoret,PMS,Savannah Petroleum,TRK-655,32900,1746280.2,1779181.8,01/06/2026 14:13
LD000035,Eldoret,PMS,Amani Petroleum,TRK-620,34300,3157369.0,3191665.5,2026-06-01 20:32
LD000036,Eldoret,PMS,Nyanza Petroleum Co,TRK-683,23600,2708431.2,2732029.6,2026-06-01 07:43
LD000037,ELDORET,AGO,Pioneer Fuels Kenya,TRK-423,33100,4442922.3,4476022.3,2026-06-01 18:42
LD000038,Eld,AGO,Aberdare Oil Traders,TRK-787,26700,1888431.2,1915130.0,01/06/2026 15:15
LD000039,Eldoret,AGO,Kilele Fuels,TRK-676,21900,2350460.7,2372359.9,2026-06-01 07:00
LD000040,Eldoret,AGO,Baraka Downstream,TRK-170,28300,3812075.8,3840377.8,01/06/2026 21:16
LD000041,Eld,PMS,Highland Energy Co,TRK-726,25800,4887128.3,4912918.7,2026-06-01 19:53
LD000042,ELDORET,AGO,Horizon Oil Marketers,TRK-237,24600,1147547.8,1172147.7,2026-06-01 22:19
LD000043,Eld,AGO,Aberdare Oil Traders,TRK-315,29800,3010716.1,3040515.1,01/06/2026 22:09
LD000044,Eldoret,PMS,Delta Oil Marketers,TRK-966,22300,2957811.0,2980112.5,2026-06-01 13:32
LD000045,Nku,AGO,Rift Valley Fuels Ltd,TRK-233,23900,3688542.2,3712438.3,01/06/2026 13:02
LD000046,Nakuru,PMS,Uhuru Energy Partners,TRK-214,31700,2471132.5,2502836.4,2026-06-01 19:35
LD000047,Nakuru,AGO,Highland Energy Co,TRK-230,30100,3534118.8,3564214.4,01/06/2026 16:37
LD000048,Nku,PMS,Zenith Petroleum,TRK-355,33400,2283120.3,2316520.7,2026-06-01 06:57
